Sorting Algorithm, Size, Swaps, Comparisons, Time Taken
Bubble Sort, 1000, 250102, 499500, 0.003000
Bubble Sort, 2000, 995574, 1999000, 0.011000
Bubble Sort, 3000, 2227207, 4498500, 0.026000
Bubble Sort, 4000, 3977576, 7998000, 0.047000
Bubble Sort, 5000, 6187299, 12497500, 0.079000
Bubble Sort, 6000, 8938260, 17997000, 0.111000
Bubble Sort, 7000, 12177890, 24496500, 0.149000
Bubble Sort, 8000, 15914238, 31996000, 0.190000
Bubble Sort, 9000, 20158364, 40495500, 0.230000
Bubble Sort, 10000, 24712201, 49995000, 0.293000
Selection Sort, 1000, 999, 499500, 0.001000
Selection Sort, 2000, 1999, 1999000, 0.005000
Selection Sort, 3000, 2999, 4498500, 0.011000
Selection Sort, 4000, 3999, 7998000, 0.018000
Selection Sort, 5000, 4999, 12497500, 0.029000
Selection Sort, 6000, 5999, 17997000, 0.040000
Selection Sort, 7000, 6999, 24496500, 0.061000
Selection Sort, 8000, 7999, 31996000, 0.097000
Selection Sort, 9000, 8999, 40495500, 0.115000
Selection Sort, 10000, 9999, 49995000, 0.289000
Insertion Sort, 1000, 251091, 250102, 0.001000
Insertion Sort, 2000, 997557, 995574, 0.006000
Insertion Sort, 3000, 2230186, 2227207, 0.013000
Insertion Sort, 4000, 3981548, 3977576, 0.021000
Insertion Sort, 5000, 6192266, 6187299, 0.035000
Insertion Sort, 6000, 8944220, 8938260, 0.040000
Insertion Sort, 7000, 12184844, 12177890, 0.067000
Insertion Sort, 8000, 15922188, 15914238, 0.099000
Insertion Sort, 9000, 20167305, 20158364, 0.120000
Insertion Sort, 10000, 24722134, 24712201, 0.138000
Count Sort, 1000, 0, 0, 0.000000
Count Sort, 2000, 0, 0, 0.000000
Count Sort, 3000, 0, 0, 0.001000
Count Sort, 4000, 0, 0, 0.000000
Count Sort, 5000, 0, 0, 0.000000
Count Sort, 6000, 0, 0, 0.000000
Count Sort, 7000, 0, 0, 0.000000
Count Sort, 8000, 0, 0, 0.000000
Count Sort, 9000, 0, 0, 0.000000
Count Sort, 10000, 0, 0, 0.000000
