Sorting Algorithm, Size, Swaps, Comparisons, Function Calls, Time Taken
Bubble Sort, 1000, 250102, 499500, 1, 0.002000
Bubble Sort, 2000, 995574, 1999000, 1, 0.009000
Bubble Sort, 3000, 2227207, 4498500, 1, 0.017000
Bubble Sort, 4000, 3977576, 7998000, 1, 0.033000
Bubble Sort, 5000, 6187299, 12497500, 1, 0.053000
Bubble Sort, 6000, 8938260, 17997000, 1, 0.079000
Bubble Sort, 7000, 12177890, 24496500, 1, 0.107000
Bubble Sort, 8000, 15914238, 31996000, 1, 0.142000
Bubble Sort, 9000, 20158364, 40495500, 1, 0.182000
Bubble Sort, 10000, 24712201, 49995000, 1, 0.214000
Selection Sort, 1000, 999, 499500, 1, 0.001000
Selection Sort, 2000, 1999, 1999000, 1, 0.004000
Selection Sort, 3000, 2999, 4498500, 1, 0.008000
Selection Sort, 4000, 3999, 7998000, 1, 0.014000
Selection Sort, 5000, 4999, 12497500, 1, 0.021000
Selection Sort, 6000, 5999, 17997000, 1, 0.032000
Selection Sort, 7000, 6999, 24496500, 1, 0.044000
Selection Sort, 8000, 7999, 31996000, 1, 0.059000
Selection Sort, 9000, 8999, 40495500, 1, 0.077000
Selection Sort, 10000, 9999, 49995000, 1, 0.097000
Insertion Sort, 1000, 251091, 250102, 1, 0.001000
Insertion Sort, 2000, 997557, 995574, 1, 0.002000
Insertion Sort, 3000, 2230186, 2227207, 1, 0.006000
Insertion Sort, 4000, 3981548, 3977576, 1, 0.010000
Insertion Sort, 5000, 6192266, 6187299, 1, 0.016000
Insertion Sort, 6000, 8944220, 8938260, 1, 0.023000
Insertion Sort, 7000, 12184844, 12177890, 1, 0.032000
Insertion Sort, 8000, 15922188, 15914238, 1, 0.042000
Insertion Sort, 9000, 20167305, 20158364, 1, 0.055000
Insertion Sort, 10000, 24722134, 24712201, 1, 0.069000
Count Sort, 1000, 7, 1998, 1, 0.000000
Count Sort, 2000, 7, 3998, 1, 0.000000
Count Sort, 3000, 7, 5998, 1, 0.000000
Count Sort, 4000, 7, 7998, 1, 0.000000
Count Sort, 5000, 7, 9998, 1, 0.000000
Count Sort, 6000, 7, 11998, 1, 0.000000
Count Sort, 7000, 7, 13998, 1, 0.000000
Count Sort, 8000, 7, 15998, 1, 0.001000
Count Sort, 9000, 7, 17998, 1, 0.000000
Count Sort, 10000, 7, 19998, 1, 0.001000
